seed,steps,max_value,steps_to_max,has_diverged,entropy,divergence_rate,values,z_score_steps,z_score_peak,iqr_outlier,is_anomaly
503,44,4616,19,False,0.0,0.0,[],0.6744907594733457,0.6744907594376883,False,False
504,71,4616,46,False,0.0,0.0,[],1.975294367029084,0.6744907594376883,False,False
505,41,1376,16,False,0.0,0.0,[],0.5299570253004859,-0.0233853425904679,False,True
506,71,4616,46,False,0.0,0.0,[],1.975294367029084,0.6744907594376883,False,False
507,25,1448,8,False,0.0,0.0,[],-0.24088955695476633,0.006013854020233704,False,False
508,33,2186,9,False,0.0,0.0,[],0.14453373417285978,0.24347180732876356,False,False
509,33,2186,9,False,0.0,0.0,[],0.14453373417285978,0.24347180732876356,False,False
510,33,6560,9,False,0.0,0.0,[],0.14453373417285978,0.8771891396979918,False,True
511,41,19682,9,False,0.0,0.0,[],0.5299570253004859,1.5109064720672194,False,True
512,9,512,0,False,0.0,0.0,[],-1.0117361392100186,-0.5929439053007681,False,True
513,25,770,1,False,0.0,0.0,[],-0.24088955695476633,-0.35793435431554993,False,False
514,79,4616,54,False,0.0,0.0,[],2.3607176581567098,0.6744907594376883,False,False
515,79,4616,54,False,0.0,0.0,[],2.3607176581567098,0.6744907594376883,False,False
516,79,4616,54,False,0.0,0.0,[],2.3607176581567098,0.6744907594376883,False,False
517,79,4616,54,False,0.0,0.0,[],2.3607176581567098,0.6744907594376883,False,False
518,79,4616,54,False,0.0,0.0,[],2.3607176581567098,0.6744907594376883,False,False
519,41,1754,3,False,0.0,0.0,[],0.5299570253004859,0.11653254766877123,False,False
520,22,520,0,False,0.0,0.0,[],-0.38542329112762613,-0.5840178567939112,False,False
521,79,4616,54,False,0.0,0.0,[],2.3607176581567098,0.6744907594376883,False,False
522,22,522,0,False,0.0,0.0,[],-0.38542329112762613,-0.5818077607013188,False,False
523,79,4616,54,False,0.0,0.0,[],2.3607176581567098,0.6744907594376883,False,False
524,22,524,0,False,0.0,0.0,[],-0.38542329112762613,-0.5796061001105167,False,False
525,22,788,1,False,0.0,0.0,[],-0.38542329112762613,-0.34462220102971497,False,False
526,52,4616,27,False,0.0,0.0,[],1.0599140506009719,0.6744907594376883,False,False
527,52,4616,27,False,0.0,0.0,[],1.0599140506009719,0.6744907594376883,False,False
528,22,528,0,False,0.0,0.0,[],-0.38542329112762613,-0.5752278295691049,False,False
529,22,794,1,False,0.0,0.0,[],-0.38542329112762613,-0.34025222274675243,False,False
530,79,4616,54,False,0.0,0.0,[],2.3607176581567098,0.6744907594376883,False,False
531,79,4616,54,False,0.0,0.0,[],2.3607176581567098,0.6744907594376883,False,False
532,22,532,0,False,0.0,0.0,[],-0.38542329112762613,-0.57088254066315,False,False
533,22,800,1,False,0.0,0.0,[],-0.38542329112762613,-0.33591510175411776,False,False
534,17,602,3,False,0.0,0.0,[],-0.6263128480823924,-0.49970361737983604,False,False
535,17,1808,3,False,0.0,0.0,[],-0.6263128480823924,0.13401371498939166,False,False
536,22,536,0,False,0.0,0.0,[],-0.38542329112762613,-0.5665697402023729,False,False
537,17,908,4,False,0.0,0.0,[],-0.6263128480823924,-0.26295469787026604,False,False
538,22,538,0,False,0.0,0.0,[],-0.38542329112762613,-0.5644253720283252,False,False
539,33,4616,8,False,0.0,0.0,[],0.14453373417285978,0.6744907594376883,False,False
540,30,540,0,False,0.0,0.0,[],0.0,-0.5622889459768177,False,False
541,30,812,1,False,0.0,0.0,[],0.0,-0.3273374808813358,False,False
542,30,1376,5,False,0.0,0.0,[],0.0,-0.0233853425904679,False,False
543,87,4616,62,False,0.0,0.0,[],2.746140949284336,0.6744907594376883,False,True
544,14,544,0,False,0.0,0.0,[],-0.7708465822552523,-0.5580396864332946,False,False
545,30,818,1,False,0.0,0.0,[],0.0,-0.3230960325471307,False,False
546,22,546,0,False,0.0,0.0,[],-0.38542329112762613,-0.555926737643937,False,False
547,22,1232,2,False,0.0,0.0,[],-0.38542329112762613,-0.08710073453770002,False,False
548,60,4616,35,False,0.0,0.0,[],1.445337341728598,0.6744907594376883,False,False
549,60,4616,35,False,0.0,0.0,[],1.445337341728598,0.6744907594376883,False,False
550,60,4616,35,False,0.0,0.0,[],1.445337341728598,0.6744907594376883,False,False
551,30,2096,6,False,0.0,0.0,[],0.0,0.21923150230670568,False,False
552,14,552,0,False,0.0,0.0,[],-0.7708465822552523,-0.5496339366044162,False,False
553,87,4616,62,False,0.0,0.0,[],2.746140949284336,0.6744907594376883,False,True
554,14,554,0,False,0.0,0.0,[],-0.7708465822552523,-0.547551499777696,False,False
555,22,1250,2,False,0.0,0.0,[],-0.38542329112762613,-0.07874066973547085,False,False
556,30,556,0,False,0.0,0.0,[],0.0,-0.5454765537471111,False,False
557,30,836,1,False,0.0,0.0,[],0.0,-0.31055566095373804,False,False
